Document No.,Line No.,Sell-to Customer No.,No.,Description,Shipment Date,Outstanding Quantity,Unit Price,Line Amount,Location Code
SO539501,10000,1255,S4-138MS,"4"" X 138"" MITER CUT STACK STAINLESS",08/28/2026,2,177.85,355.70,MAIN
SO540102,10000,1278,S4-144WB,"4"" X 144"" WEST COAST TURNOUT STACK BLACK",09/17/2026,1,181.95,181.95,MAIN
SO540202,10000,1290,P3-144CX,"3"" X 144"" PIPE CHROME BOTH ENDS EXPANDED",09/15/2026,21,95.06,1996.26,MAIN
SO540602,10000,1366,L760-2014B,"7"" 60 DEG ELBOW 20"" X 14"" BLACK",09/21/2026,8,73.87,590.96,EAST
SO540602,20000,1366,L322-88C,"3"" 22 DEG ELBOW 8"" X 8"" CHROME",09/21/2026,12,55.04,660.48,EAST
SO540602,40000,1366,RBHG7Z1,"HANGER 7"" ZINC STYLE 1",09/21/2026,22,51.24,1127.28,EAST
SO540603,10000,1255,S4-138MS,"4"" X 138"" MITER CUT STACK STAINLESS, ""EXPEDITE"" per buyer",09/17/2026,6,177.85,1067.10,EAST
SO540901,10000,1387,RBMB10Z2,"MOUNTING BRACKET 10"" ZINC STYLE 2",09/07/2026,19,52.92,1005.48,EAST
SO541303,10000,1503,HS4-60C,"HEAT SHIELD 4"" X 60"" CHROME, ""EXPEDITE"" per buyer",09/24/2026,2,66.18,132.36,MAIN
SO541303,30000,1503,RBRC10B3,"RAIN CAP 10"" BLACK STYLE 3",09/24/2026,25,46.35,1158.75,MAIN
SO541303,40000,1503,RW-905,"TUBE 5"" 14GA 10FT ALUMINIZED",09/24/2026,33,122.90,4055.70,MAIN
SO541402,10000,1508,S4-138MS,"4"" X 138"" MITER CUT STACK STAINLESS",09/24/2026,2,168.15,336.30,MAIN
SO541701,10000,1218,S4-144WB,"4"" X 144"" WEST COAST TURNOUT STACK BLACK",09/21/2026,8,172.03,1376.24,MAIN
SO541703,10000,1361,L415-2030SC,"4"" 15 DEG ELBOW 20"" X 30"" CHROME SLIP",09/23/2026,11,72.09,792.99,MAIN
SO541703,20000,1361,S7-144MA,"7"" X 144"" MITER CUT STACK ALUMINIZED",09/23/2026,1,102.24,102.24,MAIN
SO542002,10000,1303,L422-108SC,"4"" 22 DEG ELBOW 10"" X 8"" CHROME SLIP",09/25/2026,2,74.61,149.22,EAST
SO542102,10000,1514,S8-144MC,"8"" X 144"" MITER CUT STACK CHROME",09/25/2026,8,278.78,2230.24,MAIN
SO542201,10000,1303,L422-108SC,"4"" 22 DEG ELBOW 10"" X 8"" CHROME SLIP",09/29/2026,4,74.61,298.44,MAIN
SO542202,10000,1474,L890-1230B,"8"" 90 DEG ELBOW 12"" X 30"" BLACK, ""EXPEDITE"" per buyer",09/16/2026,2,104.17,208.34,MAIN
SO542203,10000,1514,S8-144MC,"8"" X 144"" MITER CUT STACK CHROME",09/21/2026,4,278.78,1115.12,MAIN
SO542301,10000,1376,L890-1230B,"8"" 90 DEG ELBOW 12"" X 30"" BLACK",10/02/2026,2,98.49,196.98,MAIN
SO542301,30000,1376,L315-1214SC,"3"" 15 DEG ELBOW 12"" X 14"" CHROME SLIP",10/02/2026,2,62.72,125.44,MAIN
SO542302,10000,1218,S7-144MA,"7"" X 144"" MITER CUT STACK ALUMINIZED",09/24/2026,2,123.64,247.28,MAIN
SO542302,20000,1218,L345-1610C,"3"" 45 DEG ELBOW 16"" X 10"" CHROME",09/24/2026,2,67.37,134.74,MAIN
SO542302,30000,1218,P3-144CX,"3"" X 144"" PIPE CHROME BOTH ENDS EXPANDED",09/24/2026,18,95.06,1711.08,MAIN
SO542302,40000,1218,M-6565,"MUFFLER RECTANGULAR 12"" X 24"" 5"" IN/OUT",09/24/2026,1,92.55,92.55,MAIN
SO542401,10000,1280,M-1910,"MUFFLER RECTANGULAR 11"" X 36"" 4"" IN/OUT",10/05/2026,1,205.63,205.63,EAST
SO542401,30000,1280,RBHG7Z1,"HANGER 7"" ZINC STYLE 1",10/05/2026,19,49.27,936.13,EAST
SO542704,10000,1337,RW-1436,"TUBE 7"" 12GA 10FT STAINLESS 304",10/01/2026,44,99.85,4393.40,MAIN
SO542801,10000,1514,S8-144MC,"8"" X 144"" MITER CUT STACK CHROME, ""EXPEDITE"" per buyer",10/01/2026,5,278.78,1393.90,MAIN
SO542802,10000,1341,L822-1024S,"8"" 22 DEG ELBOW 10"" X 24"" STAINLESS",09/29/2026,2,106.08,212.16,EAST
SO542803,10000,1352,RBRC10B3,"RAIN CAP 10"" BLACK STYLE 3",09/09/2026,25,43.83,1095.75,MAIN
